Marque,Modele,Annee,Kilometrage,Carburant,Boite Vitesse,Puissance Fiscale,Etat Generale,Prix
Hyundai,VELOSTER,2013,188000,Essence,Automatique,8.0,Occasion,36000
Suzuki,Celerio,2023,35400,Essence,Manuelle,4.0,Occasion,38500
Toyota,Rav 4,2023,58800,Hybride,Automatique,9.0,Occasion,138000
Volkswagen,Golf 7,2017,116000,Essence,Manuelle,6.0,Occasion,72000
Mercedes,Classe C,2018,200000,Diesel,Automatique,6.0,Occasion,122000
Dacia,AUTRE,2022,80000,Essence,Manuelle,5.0,Occasion,75000
Toyota,Autres,2021,154000,Diesel,Manuelle,4.0,Occasion,65000
Peugeot,208,2016,160000,Essence,Manuelle,5.0,Occasion,26000
Dacia,DUSTER,2015,78000,Essence,Automatique,9.0,Occasion,40000
Peugeot,508,2011,58857,Diesel,Automatique,6.0,Occasion,26000
Fiat,PUNTO,1996,58857,Essence,Manuelle,4.0,Occasion,13000
Hyundai,I10,2017,94000,Essence,Manuelle,4.0,Occasion,29000
Mini,AUTRE,2006,200000,Essence,Manuelle,7.0,Occasion,25500
Mercedes,GLC,2015,37000,Diesel,Automatique,9.0,Occasion,149000
Citroen,JUMPY,2020,120000,Diesel,Manuelle,6.0,Occasion,57000
Volkswagen,Polo,2022,294000,Essence,Manuelle,5.0,Occasion,29500
Peugeot,207,2011,103000,Diesel,Manuelle,5.0,Occasion,9000
Mercedes,Classe A,2019,69600,Essence,Manuelle,7.0,Occasion,105000
Mahindra,KUV 100,2019,130000,Essence,Manuelle,5.0,Occasion,27000
Seat,Ibiza,2020,118000,Essence,Manuelle,5.0,Occasion,43800
Toyota,Yaris,2015,174000,Essence,Manuelle,5.0,Occasion,38000
Citroen,BERLINGO,2012,267,Diesel,Manuelle,5.0,Occasion,32000
Kia,PICANTO,2021,88000,Essence,Manuelle,4.0,Occasion,36500
Peugeot,308,2009,203000,Essence,Manuelle,6.0,Occasion,25000
Renault,Clio,2023,43000,Essence,Automatique,4.0,Occasion,33500
Peugeot,208,2018,80000,Essence,Manuelle,5.0,Occasion,30500
Opel,Kadett,2000,58857,Essence,Manuelle,6.0,Occasion,5500
Volkswagen,Polo,2000,58857,Essence,Manuelle,4.0,Occasion,13200
Dacia,LOGAN,2011,300000,Diesel,Manuelle,5.0,Occasion,13000
Volkswagen,Polo,2019,198000,Essence,Manuelle,4.0,Occasion,40000
Fiat,PANDA,2022,130000,Essence,Manuelle,4.0,Occasion,37000
Fiat,FIORINO,2022,190000,Diesel,Manuelle,5.0,Occasion,31000
Peugeot,308,2008,195000,Essence,Automatique,5.0,Occasion,26500
Opel,Corsa,2023,58857,Essence,Manuelle,5.0,Occasion,33800
